U2:1
C1:1
R4:1
C5:1
C3:1
LEDRX1:1
LEDPW1:1
RJ1:1
U1:1
USB1:1
R2:1
R6:1
R1:1
R5:1
Q2:1
LEDTX1:1
C2:1
C4:1
R7:1
Q1:1
C6:1
R3:1
